Local Area Unemployment Statistics												
Original Data Value												
												
Series Id:	LASST480000000000003											
Seasonally Adjusted												
Area:	Texas											
Area Type:	Statewide											
State/Region/Division:	Texas											
Years:	1980 to 2020											
												
Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
1980	4.6	4.7	5	5.1	5.3	5.3	5.3	5.3	5.3	5.3	5.3	5.2
1981	5.2	5.2	5.2	5.2	5.2	5.2	5.3	5.3	5.3	5.4	5.5	5.6
1982	5.7	5.9	6	6.2	6.5	6.7	6.9	7.2	7.5	7.8	8.1	8.3
1983	8.4	8.5	8.4	8.4	8.3	8.1	8	7.8	7.6	7.4	7.2	7
1984	6.7	6.5	6.3	6.2	5.9	5.8	5.8	5.8	5.9	6	6.2	6.3
1985	6.4	6.6	6.7	6.8	6.9	7.1	7.2	7.3	7.3	7.3	7.4	7.5
1986	7.7	8	8.3	8.6	8.8	8.9	9	9.1	9.2	9.2	9.2	9.1
1987	9	8.9	8.8	8.6	8.5	8.4	8.4	8.3	8.2	8.1	8	7.9
1988	7.8	7.7	7.6	7.5	7.4	7.3	7.3	7.2	7.2	7.1	7	7
1989	6.9	6.8	6.7	6.7	6.7	6.7	6.7	6.7	6.6	6.5	6.5	6.4
1990	6.3	6.3	6.3	6.2	6.2	6.2	6.3	6.3	6.4	6.4	6.5	6.6
1991	6.7	6.7	6.8	6.8	6.8	6.8	6.8	6.9	7	7.1	7.3	7.4
1992	7.5	7.6	7.7	7.7	7.7	7.7	7.7	7.7	7.6	7.6	7.6	7.5
1993	7.5	7.4	7.3	7.2	7.2	7.1	7.1	7.1	7	7	7	7
1994	6.9	6.9	6.8	6.8	6.7	6.6	6.5	6.4	6.3	6.1	6	5.9
1995	5.8	5.8	5.9	6	6	6.1	6.2	6.2	6.2	6.2	6.2	6.1
1996	6.1	6	5.9	5.8	5.7	5.6	5.5	5.5	5.5	5.5	5.6	5.6
1997	5.7	5.6	5.6	5.5	5.4	5.3	5.3	5.2	5.1	5	5	4.9
1998	4.9	4.9	4.8	4.9	4.9	4.9	5	5	4.9	4.9	4.8	4.7
1999	4.6	4.6	4.6	4.6	4.7	4.7	4.7	4.7	4.7	4.7	4.7	4.7
2000	4.6	4.6	4.5	4.4	4.3	4.3	4.2	4.2	4.1	4.1	4	4
2001	4.1	4.2	4.3	4.5	4.6	4.8	5	5.2	5.4	5.6	5.8	6
2002	6.1	6.2	6.3	6.3	6.3	6.4	6.4	6.4	6.4	6.5	6.5	6.6
2003	6.6	6.7	6.8	6.8	6.9	6.9	6.9	6.8	6.7	6.5	6.4	6.3
2004	6.2	6.2	6.1	6.1	6	5.9	5.8	5.8	5.8	5.8	5.8	5.8
2005	5.7	5.7	5.6	5.5	5.4	5.3	5.3	5.3	5.3	5.3	5.3	5.2
2006	5.2	5.1	5.1	5.1	5.1	5	5	4.9	4.7	4.6	4.5	4.4
2007	4.4	4.3	4.3	4.2	4.2	4.2	4.2	4.3	4.3	4.3	4.3	4.3
2008	4.3	4.3	4.3	4.4	4.5	4.6	4.8	4.9	5.1	5.3	5.6	5.8
2009	6.1	6.3	6.5	6.6	7.6	8	8.2	8.3	8.3	8.3	8.3	8.3
2010	8.3	8.3	8.3	8.2	8.1	8	8	8	8.1	8.1	8.1	8.1
2011	8	7.9	7.9	7.9	7.9	7.9	7.9	7.8	7.7	7.6	7.4	7.2
2012	7.1	7	6.9	6.9	6.9	6.8	6.7	6.6	6.5	6.5	6.5	6.5
2013	6.5	6.5	6.5	6.5	6.4	6.3	6.3	6.2	6.1	6	5.9	5.8
2014	5.7	5.5	5.4	5.3	5.2	5.2	5.1	5	4.9	4.8	4.7	4.6
2015	4.5	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.4	4.5	4.5	4.4
2016	4.4	4.4	4.4	4.5	4.6	4.7	4.7	4.7	4.8	4.8	4.8	4.8
2017	4.7	4.7	4.6	4.5	4.4	4.3	4.2	4.1	4.1	4.1	4	4
2018	4	4	4	4	3.9	3.9	3.8	3.7	3.7	3.7	3.7	3.7
2019	3.7	3.6	3.5	3.5	3.4	3.4	3.5	3.5	3.5	3.5	3.5	3.5
2020	3.5	3.5	5.1	13.5	13	8.4	8	6.8	8.3			
